,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Tm,Home Game,Opponent,Year
5,Breshad Perriman,2,2,33,16.5,0,17.0,CLE,1,ATL,2018
6,Rashard Higgins,1,1,28,28.0,1,28.0,CLE,1,ATL,2018
7,Jarvis Landry,5,2,22,11.0,0,12.0,CLE,1,ATL,2018
8,David Njoku,1,1,18,18.0,0,18.0,CLE,1,ATL,2018
9,Orson Charles,1,1,6,6.0,0,6.0,CLE,1,ATL,2018
1,Nick Chubb,3,3,44,14.7,1,23.0,CLE,1,CIN,2018
2,Duke Johnson,2,1,23,23.0,0,23.0,CLE,1,CIN,2018
3,David Njoku,5,5,63,12.6,1,24.0,CLE,1,CIN,2018
4,Antonio Callaway,5,4,62,15.5,1,21.0,CLE,1,CIN,2018
5,Jarvis Landry,5,3,30,10.0,0,14.0,CLE,1,CIN,2018
6,Rashard Higgins,3,1,24,24.0,0,24.0,CLE,1,CIN,2018
7,Darren Fells,1,1,6,6.0,1,6.0,CLE,1,CIN,2018
8,Breshad Perriman,1,1,6,6.0,0,6.0,CLE,1,CIN,2018
1,Nick Chubb,3,3,41,13.7,0,24.0,CLE,1,HOU,2018
2,Jarvis Landry,9,6,103,17.2,0,28.0,CLE,1,HOU,2018
3,Antonio Callaway,6,3,84,28.0,0,71.0,CLE,1,HOU,2018
4,Rashard Higgins,4,4,62,15.5,1,21.0,CLE,1,HOU,2018
5,Dontrell Hilliard,4,4,40,10.0,0,23.0,CLE,1,HOU,2018
6,Breshad Perriman,2,2,26,13.0,0,19.0,CLE,1,HOU,2018
7,Seth Devalve,2,1,19,19.0,0,19.0,CLE,1,HOU,2018
8,Duke Johnson,3,2,12,6.0,0,7.0,CLE,1,HOU,2018
9,David Njoku,6,3,8,2.7,0,9.0,CLE,1,HOU,2018
10,Damion Ratley,1,1,2,2.0,0,2.0,CLE,1,HOU,2018
1,Jarvis Landry,4,3,57,19.0,1,,CLE,1,CAR,2018
2,Nick Chubb,6,4,17,4.2,0,8.0,CLE,1,CAR,2018
3,Breshad Perriman,2,2,81,40.5,0,66.0,CLE,1,CAR,2018
4,David Njoku,4,3,35,11.7,0,28.0,CLE,1,CAR,2018
5,Dontrell Hilliard,2,2,20,10.0,0,12.0,CLE,1,CAR,2018
6,Rashard Higgins,3,2,19,9.5,0,15.0,CLE,1,CAR,2018
7,Orson Charles,1,1,9,9.0,0,9.0,CLE,1,CAR,2018
2,Duke Johnson,5,4,25,6.2,0,10.0,CLE,1,DEN,2018
3,Jarvis Landry,8,3,37,12.3,0,19.0,CLE,1,DEN,2018
4,Antonio Callaway,7,5,35,7.0,1,12.0,CLE,1,DEN,2018
5,Breshad Perriman,2,1,31,31.0,1,31.0,CLE,1,DEN,2018
6,Rashard Higgins,3,2,30,15.0,0,19.0,CLE,1,DEN,2018
7,David Njoku,5,3,30,10.0,0,20.0,CLE,1,DEN,2018
1,Jarvis Landry,8,4,47,11.8,0,,CLE,1,CIN,2018
2,Nick Chubb,3,2,3,1.5,0,2.0,CLE,1,CIN,2018
3,Duke Johnson,6,6,54,9.0,0,21.0,CLE,1,CIN,2018
4,Breshad Perriman,4,2,76,38.0,0,63.0,CLE,1,CIN,2018
5,David Njoku,4,3,73,24.3,1,66.0,CLE,1,CIN,2018
6,Rashard Higgins,7,6,60,10.0,1,17.0,CLE,1,CIN,2018
7,Darren Fells,3,3,18,6.0,1,9.0,CLE,1,CIN,2018
8,Dontrell Hilliard,1,1,15,15.0,0,15.0,CLE,1,CIN,2018
9,Seth Devalve,1,1,1,1.0,0,1.0,CLE,1,CIN,2018
2,Duke Johnson,4,1,3,3.0,0,3.0,CLE,1,BAL,2018
3,Breshad Perriman,4,3,45,15.0,1,28.0,CLE,1,BAL,2018
4,Jarvis Landry,9,5,102,20.4,1,48.0,CLE,1,BAL,2018
5,Rashard Higgins,6,4,86,21.5,0,40.0,CLE,1,BAL,2018
6,Antonio Callaway,7,4,79,19.8,1,38.0,CLE,1,BAL,2018
7,David Njoku,7,3,62,20.7,0,42.0,CLE,1,BAL,2018
8,Darren Fells,1,1,3,3.0,0,3.0,CLE,1,BAL,2018
1,Nick Chubb,4,3,10,3.3,0,7.0,CLE,1,TEN,2019
2,D'Ernest Johnson,2,2,23,11.5,0,12.0,CLE,1,TEN,2019
3,Jarvis Landry,7,4,67,16.8,0,34.0,CLE,1,TEN,2019
