,Player,Tm,Att,Yds,TD,Lng,Y/A,Opponent,Year
3,Brandon Powell,LAR,1,3,0,3.0,3.0,LAR,2022
0,Baker Mayfield,LAR,2,2,0,2.0,1.0,DEN,2022
1,Cam Akers,LAR,23,118,3,21.0,5.1,DEN,2022
2,Malcolm Brown,LAR,2,19,0,17.0,9.5,DEN,2022
3,Kyren Williams,LAR,6,18,0,7.0,3.0,DEN,2022
4,Brandon Powell,LAR,2,3,0,3.0,1.5,DEN,2022
0,Baker Mayfield,LAR,3,8,0,6.0,2.7,LAR,2022
1,Cam Akers,LAR,19,123,0,42.0,6.5,LAR,2022
2,Malcolm Brown,LAR,1,23,1,23.0,23.0,LAR,2022
3,Brandon Powell,LAR,1,6,0,6.0,6.0,LAR,2022
4,Kyren Williams,LAR,2,6,0,3.0,3.0,LAR,2022
0,Baker Mayfield,LAR,5,16,0,11.0,3.2,LAR,2022
1,Cam Akers,LAR,21,104,0,32.0,5.0,LAR,2022
2,Brandon Powell,LAR,1,15,0,15.0,15.0,LAR,2022
3,Tutu Atwell,LAR,1,11,1,11.0,11.0,LAR,2022
